Sample	Weight	ABA	Salicylic	ICA	GABA	IAA
LL1	55.7	16657.3221629693	959928.361156058	64277.1367676233	34744.6872979574	18022.718100957
LL2	48.1	17631.8477500978	629632.401818891	51994.678444378	74364.2031612077	21403.0579520152
LL3	53	17253.7374073005	871049.700715627	81687.2882778244	36604.4497549616	23192.8045499571
LL4	50.6	25533.544930984	514858.9197907	42185.3934450705	121831.973041356	6427.0712806275
LL5	47.7	19833.0937772857	721936.095045829	42658.6765389699	118178.581108882	8274.91055890677
LL6	52.3	18177.2835222369	658693.343077154	38957.5259373917	99754.1738986871	6419.08151575556
HL1	49.9	16881.8088492922	741441.128283593	76690.7944843684	34284.9563557256	68739.2340944188
HL2	55.4	17954.2357842305	729216.932349763	83106.9319389605	30490.9428469041	53420.6772275775
HL3	51.8	17798.3830453633	859910.556135162	82209.7115277867	33731.3533053839	84641.7266027114
HL4	48.4	9756.23600991536	615418.500851377	32342.2751120494	110682.400974409	10459.6028627098
HL5	51.1	9177.98390025743	633398.275327041	43393.9309153712	117205.786715287	30680.4213964171
HL6	38.9	9841.24486682329	512732.188824984	36550.0415183034	93791.9667596925	20426.6779312135
